[2026-07-17T03:56:46.400Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-17T03:56:46.401Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-17T03:56:46.401Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-17T03:56:46.401Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-17T03:56:46.401Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-17T03:56:46.401Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-17T03:56:46.401Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-17T03:56:46.401Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-17T03:56:46.401Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-17T03:56:46.402Z] [INFO] Daemon started (PID: 2824672, CPUs: 16, workers: 7, maxCpuLoad: 12.8, minFreeMemoryPercent: 10%)
[2026-07-17T03:56:46.403Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-17T03:56:46.403Z] [INFO] Worker map completed in 0ms
[2026-07-17T03:58:46.406Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T03:58:46.407Z] [INFO] Worker audit completed in 1ms
[2026-07-17T04:00:46.407Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-17T04:00:46.407Z] [INFO] Worker optimize completed in 1ms
[2026-07-17T04:02:46.406Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-17T04:02:46.407Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-17T04:02:46.407Z] [INFO] Worker consolidate completed in 1ms
[2026-07-17T04:04:46.406Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-17T04:04:46.407Z] [INFO] Worker testgaps completed in 1ms
[2026-07-17T04:06:46.406Z] [INFO] Starting worker: backup (1/2 concurrent)
[2026-07-17T04:06:46.407Z] [INFO] Worker backup completed in 1ms
[2026-07-17T04:08:46.406Z] [INFO] Starting worker: harness (1/2 concurrent)
[2026-07-17T04:08:46.419Z] [INFO] Worker harness completed in 14ms
[2026-07-17T04:08:46.420Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T04:08:46.420Z] [INFO] Worker audit completed in 0ms
[2026-07-17T04:11:46.409Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-17T04:11:46.409Z] [INFO] Worker map completed in 1ms
[2026-07-17T04:15:46.412Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-17T04:15:46.412Z] [INFO] Worker optimize completed in 0ms
[2026-07-17T04:18:46.425Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T04:18:46.426Z] [INFO] Worker audit completed in 1ms
[2026-07-17T05:15:46.427Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-17T05:15:46.427Z] [INFO] Worker optimize completed in 0ms
[2026-07-17T05:18:46.445Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T05:18:46.445Z] [INFO] Worker audit completed in 0ms
[2026-07-17T05:24:46.420Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-17T05:24:46.420Z] [INFO] Worker testgaps completed in 1ms
[2026-07-17T05:26:46.425Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-17T05:26:46.425Z] [INFO] Worker map completed in 1ms
[2026-07-17T05:28:46.446Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T05:28:46.446Z] [INFO] Worker audit completed in 0ms
[2026-07-17T05:30:46.428Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-17T05:30:46.429Z] [INFO] Worker optimize completed in 1ms
[2026-07-17T05:32:46.413Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-17T05:32:46.413Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-17T05:32:46.413Z] [INFO] Worker consolidate completed in 1ms
[2026-07-17T05:38:46.453Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T05:38:46.453Z] [INFO] Worker audit completed in 1ms
[2026-07-17T05:41:46.429Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-17T05:41:46.429Z] [INFO] Worker map completed in 0ms
[2026-07-17T05:44:46.426Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-17T05:44:46.426Z] [INFO] Worker testgaps completed in 1ms
[2026-07-17T05:45:46.435Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-17T05:45:46.435Z] [INFO] Worker optimize completed in 1ms
[2026-07-17T05:48:46.455Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T05:48:46.455Z] [INFO] Worker audit completed in 1ms
[2026-07-17T05:56:46.434Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-17T05:56:46.434Z] [INFO] Worker map completed in 0ms
[2026-07-17T05:58:46.459Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T05:58:46.459Z] [INFO] Worker audit completed in 1ms
[2026-07-17T06:00:46.440Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-17T06:00:46.440Z] [INFO] Worker optimize completed in 0ms
[2026-07-17T06:02:46.414Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-17T06:02:46.414Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-17T06:02:46.414Z] [INFO] Worker consolidate completed in 1ms
[2026-07-17T06:04:46.430Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-17T06:04:46.430Z] [INFO] Worker testgaps completed in 1ms
[2026-07-17T06:08:46.462Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T06:08:46.462Z] [INFO] Worker audit completed in 0ms
[2026-07-17T06:11:46.439Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-17T06:11:46.439Z] [INFO] Worker map completed in 1ms
[2026-07-17T06:15:46.445Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-17T06:15:46.445Z] [INFO] Worker optimize completed in 1ms
[2026-07-17T06:18:46.466Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-17T06:18:46.466Z] [INFO] Worker audit completed in 1ms
[2026-07-17T06:24:46.433Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-17T06:24:46.433Z] [INFO] Worker testgaps completed in 0ms
[2026-07-17T06:26:46.442Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-17T06:26:46.442Z] [INFO] Worker map completed in 1ms
[2026-07-17T06:28:46.469Z] [INFO] Starting worker: audit (1/2 concurrent)
